step,adv_reward/adv_reward_scaled_min
10000,25.406511306762695
20000,21.642751693725586
30000,21.71706771850586
40000,22.84988021850586
50000,26.051128387451172
60000,25.096452713012695
70000,26.263574600219727
80000,22.400081634521484
90000,25.457107543945312
100000,25.067598342895508
110000,26.259050369262695
120000,23.191030502319336
130000,22.855377197265625
140000,24.114248275756836
150000,24.390703201293945
160000,23.531906127929688
170000,22.38912582397461
180000,24.11969757080078
190000,17.71725082397461
200000,26.885900497436523
210000,26.04027557373047
220000,27.24400520324707
230000,23.422725677490234
240000,79.99512481689453
250000,25.627971649169922
260000,26.583913803100586
270000,33.76908874511719
280000,27.404090881347656
290000,25.17092514038086
300000,48.27788543701172
310000,25.86625099182129
320000,25.11499786376953
330000,26.63591194152832
340000,26.804182052612305
350000,23.285696029663086
360000,24.228609085083008
370000,24.409072875976562
380000,22.112937927246094
390000,23.620779037475586
400000,24.050317764282227
410000,28.341819763183594
420000,22.78063201904297
430000,24.299413681030273
440000,40.68168258666992
450000,50.90939712524414
460000,25.242822647094727
470000,36.43821334838867
480000,19.363737106323242
490000,24.557640075683594
500000,25.02475929260254
