step,loss/entropy_loss
10000,-1.8378770351409912
20000,-1.8378770351409912
30000,-1.8378770351409912
40000,-1.8378770351409912
50000,-1.8378770351409912
60000,-1.8378770351409912
70000,-1.8378770351409912
80000,-1.8378770351409912
90000,-1.8378770351409912
100000,-1.8378770351409912
110000,-1.8378770351409912
120000,-1.8378770351409912
130000,-1.8398771286010742
140000,-1.8398771286010742
150000,-1.8398771286010742
160000,-1.8398771286010742
170000,-1.8398771286010742
180000,-1.8398771286010742
190000,-1.8398771286010742
200000,-1.8398771286010742
210000,-1.8398771286010742
220000,-1.8398771286010742
230000,-1.8398771286010742
240000,-1.8398771286010742
250000,-1.8398771286010742
260000,-1.8398771286010742
270000,-1.8398771286010742
280000,-1.8398771286010742
290000,-1.8398771286010742
300000,-1.8398771286010742
310000,-1.8398771286010742
320000,-1.8398771286010742
330000,-1.8398771286010742
340000,-1.8398771286010742
350000,-1.8398771286010742
360000,-1.8398771286010742
370000,-1.8398771286010742
380000,-1.8398771286010742
390000,-1.8398771286010742
400000,-1.8398771286010742
410000,-1.8398771286010742
420000,-1.8398771286010742
430000,-1.8398771286010742
440000,-1.8398771286010742
450000,-1.8398771286010742
460000,-1.8398771286010742
470000,-1.8398771286010742
480000,-1.8398771286010742
490000,-1.8398771286010742
500000,-1.8398771286010742
