step,loss/policy_loss
2000,-0.01416911126634365
4000,-0.01392520955982686
6000,-0.007627995110079376
8000,0.0067836774529197496
10000,0.0025921526217808862
12000,0.0012843847228710607
14000,0.0420226809157256
16000,0.03524552372258637
18000,-0.01880427832551226
20000,0.03201755554715107
22000,-0.011541147201366859
24000,-0.02212807327839031
26000,0.018771224251157244
28000,-0.006670785530103615
30000,0.003963544199599595
32000,0.04036415481301595
34000,0.245642507306088
36000,-0.021848593947201154
38000,0.04153642253058606
40000,0.017851183539640166
42000,-0.022812232122173974
44000,0.13204817711093464
46000,0.16151586852969013
48000,0.2299623732171122
50000,0.15773789493802445
52000,0.21689680113050955
54000,0.2661815971420157
56000,0.2281495676420314
58000,0.26877350753115253
60000,0.25649090742095504
62000,0.22501211960876472
64000,0.24358715089165178
66000,0.29093748823867827
68000,0.23027836981778002
70000,0.22035329259138137
72000,0.25894374238431783
74000,0.2007989080903802
76000,0.2639688638671698
78000,0.2897518011391721
80000,0.23477898920427104
82000,0.27780368918136655
84000,0.27901626721846184
86000,0.2222954024774717
88000,0.23867582703745377
90000,0.2744395764208975
92000,0.24077426525635365
94000,0.2644855982202563
96000,0.27495619378098
98000,0.20256232498221785
100000,0.2881087444980282
