step,stat/ep_constraint_violation
2000,10.0
4000,11.0
6000,12.7
8000,13.7
10000,11.8
12000,14.4
14000,14.1
16000,12.1
18000,13.1
20000,13.1
22000,12.8
24000,13.1
26000,12.6
28000,11.8
30000,14.9
32000,12.9
34000,13.0
36000,14.7
38000,13.4
40000,13.7
42000,13.6
44000,15.8
46000,13.0
48000,15.6
50000,13.6
52000,13.2
54000,13.5
56000,13.1
58000,13.5
60000,16.0
62000,16.8
64000,14.0
66000,17.4
68000,15.3
70000,14.0
72000,15.3
74000,16.0
76000,15.4
78000,15.7
80000,15.3
82000,15.1
84000,14.7
86000,16.0
88000,14.4
90000,17.2
92000,15.8
94000,14.7
96000,18.3
98000,18.0
100000,14.3
