step,stat/ep_reward
2000,0.40794622728046315
4000,0.3164456166502997
6000,0.37202904329265474
8000,0.36233805210282805
10000,0.3407652973995699
12000,0.34623214086901666
14000,0.4227681194955043
16000,0.3893599117934272
18000,0.28663372595082426
20000,0.32323661120896924
22000,0.2999797102183586
24000,0.42365706105634526
26000,0.34797575955145543
28000,0.3772667512731357
30000,0.39720295451168386
32000,0.36502759620312686
34000,0.42094925411179035
36000,0.4468841977644112
38000,0.31769111041234543
40000,0.3880395698688745
42000,0.24110671867691696
44000,0.34447616104631495
46000,0.3246805911166289
48000,0.32167183215789696
50000,0.27169006213929886
52000,0.41909890690213175
54000,0.454718220664836
56000,0.29862385114172835
58000,0.2983558436249509
60000,0.3521768753003486
62000,0.17457612077613635
64000,0.4185774706877643
66000,0.3171213732803152
68000,0.29808268631536705
70000,0.27948573522186476
72000,0.32881582086002364
74000,0.32032145932080713
76000,0.17263274798051803
78000,0.3331244688013146
80000,0.246918865380773
82000,0.2996378374429907
84000,0.40371596513332975
86000,0.3249008826663392
88000,0.3111368033783727
90000,0.3225578764926669
92000,0.3476804870140425
94000,0.32702855020078925
96000,0.3571064542390877
98000,0.2932022067702154
100000,0.3300373138326055
