step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,87.4
140000,41.2
150000,116.1
160000,45.9
170000,88.8
180000,68.6
190000,87.3
200000,75.3
210000,141.2
220000,99.2
230000,107.9
240000,101.1
250000,56.8
260000,69.2
270000,79.2
280000,124.9
290000,75.0
300000,97.1
310000,96.7
320000,35.1
330000,77.3
340000,103.6
350000,57.3
360000,115.2
370000,77.8
380000,99.7
390000,122.5
400000,96.6
410000,68.5
420000,91.5
430000,103.0
440000,121.8
450000,91.1
460000,118.7
470000,100.3
480000,115.6
490000,54.2
500000,102.6
