step,stat/ep_reward
10000,0.4100188247896271
20000,0.4865265509581084
30000,0.3762713320961469
40000,0.45108160991107155
50000,0.29389452206298783
60000,0.49497997137997213
70000,0.4843165255802308
80000,0.3902826990301683
90000,0.4336767263036222
100000,0.3000103732593796
110000,0.4882620875138257
120000,0.39183102977959977
130000,0.3145044643171588
140000,0.3096523870511202
150000,0.44187099604865965
160000,0.27554988725048923
170000,0.32180547599623355
180000,0.3067569585582417
190000,0.35439543859440514
200000,0.3255451278180015
210000,0.475292824007011
220000,0.41536603826036406
230000,0.34369830981940047
240000,0.44981052051791776
250000,0.383478551451123
260000,0.3856797876981159
270000,0.376597768243165
280000,0.37905119736896314
290000,0.31577292478342134
300000,0.3179624972278067
310000,0.33319500939650715
320000,0.3297121801668918
330000,0.37236995052543836
340000,0.4236251219442212
350000,0.3521775279085162
360000,0.31200394279484417
370000,0.4185283131265202
380000,0.4102669305505161
390000,0.31777687218256884
400000,0.4376297183968438
410000,0.34727111118941156
420000,0.3913652808285009
430000,0.40620431774545895
440000,0.43377701470181307
450000,0.3538820511490463
460000,0.4914094827887328
470000,0.34370833097851705
480000,0.32673333816996386
490000,0.33987152836640305
500000,0.2968411454950667
