step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5379
140000,6297
150000,7088
160000,7895
170000,8760
180000,9612
190000,10422
200000,11216
210000,11999
220000,12881
230000,13748
240000,14420
250000,15165
260000,16010
270000,16752
280000,17531
290000,18254
300000,19102
310000,19994
320000,20833
330000,21543
340000,22309
350000,22988
360000,23811
370000,24692
380000,25547
390000,26304
400000,26893
410000,27645
420000,28490
430000,29241
440000,30088
450000,30873
460000,31690
470000,32518
480000,33224
490000,34094
500000,34959
