step,stat/ep_length
2000,27.4
4000,14.9
6000,33.4
8000,33.4
10000,45.1
12000,42.6
14000,35.0
16000,42.2
18000,49.8
20000,41.6
22000,51.1
24000,42.6
26000,39.5
28000,45.5
30000,38.4
32000,32.3
34000,42.1
36000,36.7
38000,43.3
40000,22.9
42000,35.2
44000,44.2
46000,20.3
48000,43.3
50000,33.8
52000,50.6
54000,36.1
56000,38.0
58000,24.7
60000,38.7
62000,39.6
64000,23.7
66000,37.2
68000,37.4
70000,42.4
72000,36.5
74000,41.0
76000,40.4
78000,41.3
80000,39.1
82000,22.6
84000,43.2
86000,33.3
88000,40.5
90000,42.2
92000,32.2
94000,40.2
96000,36.3
98000,39.7
100000,42.6
