step,stat/ep_length
2000,27.1
4000,15.2
6000,31.8
8000,33.3
10000,21.6
12000,38.4
14000,46.3
16000,55.4
18000,43.0
20000,42.8
22000,45.6
24000,40.2
26000,55.0
28000,53.7
30000,64.5
32000,55.3
34000,65.1
36000,42.2
38000,56.5
40000,48.9
42000,50.5
44000,36.8
46000,41.3
48000,45.8
50000,92.1
52000,64.2
54000,44.8
56000,43.4
58000,54.6
60000,85.9
62000,56.4
64000,61.6
66000,47.0
68000,90.2
70000,95.4
72000,98.9
74000,55.9
76000,70.9
78000,91.0
80000,83.0
82000,99.4
84000,95.7
86000,75.8
88000,91.8
90000,108.2
92000,42.4
94000,42.2
96000,41.6
98000,47.2
100000,57.2
