step,adv_reward/adv_reward_raw_min
2000,-100.0
4000,35.38056564331055
6000,219.53941345214844
8000,-100.0
10000,222.11532592773438
12000,456.1060485839844
14000,376.29315185546875
16000,28.447242736816406
18000,69.77772521972656
20000,137.45455932617188
22000,-15.055157661437988
24000,-22.06196403503418
26000,167.80389404296875
28000,-9.866927146911621
30000,135.01116943359375
32000,168.42904663085938
34000,-100.0
36000,-21.998966217041016
38000,851.3983154296875
40000,-10.162123680114746
42000,-24.14325714111328
44000,-10.76647663116455
46000,33.62468719482422
48000,-24.44540023803711
50000,-24.60078239440918
52000,-9.096353530883789
54000,-24.45417022705078
56000,234.05902099609375
58000,-12.44431209564209
60000,-13.433062553405762
62000,182.89329528808594
64000,92.40478515625
66000,-4.542644023895264
68000,-13.51392936706543
70000,72.11375427246094
72000,96.52034759521484
74000,-100.0
76000,-100.0
78000,-11.750680923461914
80000,-10.546351432800293
82000,-21.920503616333008
84000,-11.184535026550293
86000,138.81741333007812
88000,119.75999450683594
90000,271.175537109375
92000,-23.392822265625
94000,-23.49112319946289
96000,-13.451597213745117
98000,-12.577692985534668
100000,-12.545491218566895
