step,adv_reward/adv_reward_raw_max
2000,17.892669677734375
4000,56.51702117919922
6000,235.74916076660156
8000,329.8488464355469
10000,245.44187927246094
12000,461.85406494140625
14000,397.3846740722656
16000,35.843807220458984
18000,86.68484497070312
20000,155.5778350830078
22000,-4.951492786407471
24000,-9.125428199768066
26000,170.75704956054688
28000,-0.34814971685409546
30000,149.63626098632812
32000,185.11489868164062
34000,-7.164692401885986
36000,-7.288305759429932
38000,864.9855346679688
40000,-6.47445821762085
42000,-11.125457763671875
44000,-7.68007230758667
46000,36.44076156616211
48000,-9.95692253112793
50000,-8.021017074584961
52000,-3.8820345401763916
54000,-7.1744537353515625
56000,249.37391662597656
58000,-7.506023406982422
60000,-7.236496925354004
62000,197.2758026123047
64000,95.79258728027344
66000,13.046648979187012
68000,-8.08357048034668
70000,85.79749298095703
72000,100.69749450683594
74000,-6.460160255432129
76000,-0.6373599171638489
78000,-9.402263641357422
80000,1.668230414390564
82000,-9.241199493408203
84000,-7.364197254180908
86000,161.42054748535156
88000,148.71141052246094
90000,286.0843811035156
92000,-6.767492294311523
94000,-1.2345600128173828
96000,-8.836557388305664
98000,-8.251370429992676
100000,-9.551132202148438
