step,stat/step_time
2000,0.7568056583404541
4000,0.6155805587768555
6000,0.9209692478179932
8000,0.7335026264190674
10000,0.6275391578674316
12000,0.6054224967956543
14000,0.6582715511322021
16000,0.6105132102966309
18000,0.641395092010498
20000,0.591141939163208
22000,0.5777218341827393
24000,0.5984489917755127
26000,0.6520524024963379
28000,0.6039285659790039
30000,0.6485142707824707
32000,0.6102910041809082
34000,0.6010496616363525
36000,0.5559945106506348
38000,0.5855066776275635
40000,0.6053304672241211
42000,0.6226975917816162
44000,0.5784852504730225
46000,0.5698056221008301
48000,0.6042919158935547
50000,0.5934453010559082
52000,0.6412861347198486
54000,0.6093711853027344
56000,0.6032140254974365
58000,0.7078666687011719
60000,0.595576286315918
62000,0.6251933574676514
64000,0.5766208171844482
66000,0.62496018409729
68000,0.6191432476043701
70000,0.5689356327056885
72000,0.604691743850708
74000,0.5840106010437012
76000,0.6177401542663574
78000,1.4261109828948975
80000,0.59796142578125
82000,0.6008040904998779
84000,0.5998904705047607
86000,0.5973083972930908
88000,0.5920886993408203
90000,0.6015281677246094
92000,0.6145780086517334
94000,0.5721950531005859
96000,0.9746413230895996
98000,0.6281118392944336
100000,0.5603234767913818
