step,stat/ep_constraint_violation
2000,11.6
4000,12.4
6000,11.7
8000,17.7
10000,15.9
12000,16.6
14000,16.4
16000,16.5
18000,17.7
20000,16.0
22000,16.7
24000,15.1
26000,16.4
28000,15.3
30000,19.2
32000,21.6
34000,20.7
36000,22.9
38000,21.2
40000,23.0
42000,18.3
44000,19.7
46000,13.8
48000,19.6
50000,20.8
52000,14.3
54000,19.8
56000,21.6
58000,14.7
60000,21.7
62000,12.9
64000,14.5
66000,21.4
68000,20.5
70000,13.7
72000,18.6
74000,23.6
76000,15.0
78000,20.2
80000,22.1
82000,15.0
84000,19.9
86000,21.2
88000,14.5
90000,20.7
92000,19.2
94000,15.8
96000,24.1
98000,14.3
100000,15.2
