step,stat/ep_length
2000,28.2
4000,18.5
6000,29.3
8000,37.4
10000,38.8
12000,40.1
14000,33.3
16000,38.9
18000,37.3
20000,36.6
22000,41.3
24000,43.8
26000,40.5
28000,40.2
30000,48.5
32000,42.7
34000,48.3
36000,51.0
38000,47.5
40000,57.0
42000,51.7
44000,29.2
46000,17.6
48000,28.4
50000,28.9
52000,16.4
54000,29.1
56000,30.1
58000,17.3
60000,28.7
62000,14.8
64000,17.6
66000,28.9
68000,28.4
70000,16.5
72000,27.8
74000,29.4
76000,16.9
78000,28.8
80000,29.6
82000,17.7
84000,28.8
86000,30.9
88000,16.3
90000,31.0
92000,27.6
94000,19.3
96000,32.2
98000,15.6
100000,19.0
