step,stat/ep_reward
2000,0.4345440040996024
4000,0.3736122075624908
6000,0.3756290581626551
8000,0.3062160801122202
10000,0.38519488407329555
12000,0.35570977492005407
14000,0.3555709518961683
16000,0.307524755345751
18000,0.37540098810324873
20000,0.3477595894678392
22000,0.32008354354861884
24000,0.2691833965384544
26000,0.3672008074946211
28000,0.29921002609728936
30000,0.3639474098447315
32000,0.3531641474369561
34000,0.3887494898613345
36000,0.32706978001122217
38000,0.3277081410252989
40000,0.4027543566552881
42000,0.2433729818363201
44000,0.349323506936506
46000,0.4263696730288097
48000,0.28041960042913766
50000,0.3568826455732545
52000,0.381948359342753
54000,0.3454279596540676
56000,0.3250949838678358
58000,0.3800860034471726
60000,0.37611377485871833
62000,0.47860976892985335
64000,0.4543087091070137
66000,0.3129525718052808
68000,0.3476940364945226
70000,0.37553675062382036
72000,0.2831915937601901
74000,0.35109392273659673
76000,0.35260499550240126
78000,0.4055779233809054
80000,0.40116331076761763
82000,0.49922415713946167
84000,0.35289082078233747
86000,0.4050834844669941
88000,0.4052589588185326
90000,0.3946750389525789
92000,0.28197411618428087
94000,0.41084705992912773
96000,0.4266327763715133
98000,0.42212451518620187
100000,0.40074146821219847
