step,adv_reward/adv_reward_scaled_min
2000,-99.99967956542969
4000,31.34430503845215
6000,10.936651229858398
8000,-99.99967956542969
10000,19.483665466308594
12000,-46.08087921142578
14000,25.577192306518555
16000,-51.17108154296875
18000,6.9242939949035645
20000,32.397953033447266
22000,27.112022399902344
24000,-54.94523620605469
26000,21.018953323364258
28000,33.50940704345703
30000,-42.83182144165039
32000,30.303386688232422
34000,21.46984100341797
36000,-43.54462814331055
38000,-99.99967956542969
40000,22.60276985168457
42000,-44.320892333984375
44000,20.04987907409668
46000,-99.99967956542969
48000,14.450556755065918
50000,23.667451858520508
52000,-43.09654998779297
54000,-54.642513275146484
56000,-99.99967956542969
58000,14.927645683288574
60000,10.408414840698242
62000,30.137527465820312
64000,-99.99967956542969
66000,13.081550598144531
68000,22.28360939025879
70000,20.049604415893555
72000,12.46760368347168
74000,31.439027786254883
76000,-40.73582077026367
78000,15.374700546264648
80000,16.810537338256836
82000,26.9997501373291
84000,-43.791160583496094
86000,24.00082015991211
88000,44.10807800292969
90000,29.177125930786133
92000,22.78557586669922
94000,13.220113754272461
96000,-55.73321533203125
98000,25.811418533325195
100000,-99.99967956542969
