step,adv_reward/adv_reward_scaled_mean
2000,99.99983215332031
4000,49.995479583740234
6000,99.91667175292969
8000,99.90937042236328
10000,48.94859313964844
12000,-57.37838363647461
14000,100.0
16000,-54.470237731933594
18000,-76.513427734375
20000,99.97550201416016
22000,62.335716247558594
24000,-66.404541015625
26000,49.97386169433594
28000,100.0
30000,99.99894714355469
32000,48.27415084838867
34000,100.0
36000,99.99380493164062
38000,-59.420372009277344
40000,99.99223327636719
42000,99.9897232055664
44000,30.685192108154297
46000,-66.86712646484375
48000,100.0
50000,100.0
52000,100.0
54000,72.66255950927734
56000,98.35469055175781
58000,60.340850830078125
60000,99.99994659423828
62000,-40.64649963378906
64000,100.0
66000,98.7068099975586
68000,-40.507347106933594
70000,88.6812973022461
72000,99.99950408935547
74000,50.000057220458984
76000,99.9999771118164
78000,99.93156433105469
80000,-65.29924011230469
82000,99.9991455078125
84000,99.99837493896484
86000,99.9874038696289
88000,49.97019577026367
90000,-69.78448486328125
92000,-60.93804931640625
94000,99.91971588134766
96000,99.85855102539062
98000,99.9835433959961
100000,99.99967956542969
