step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,52.714438385723746
140000,25.480755275140837
150000,32.763184287316825
160000,37.276383115838826
170000,28.776474757327442
180000,35.223421348458686
190000,65.50816159485719
200000,29.115616336585624
210000,40.669229306446496
220000,50.99659071755258
230000,25.08675640181347
240000,52.31064976801415
250000,32.45713184588531
260000,42.27703474603093
270000,21.127051031188863
280000,53.76274096503264
290000,29.41972496905833
300000,40.253419508229086
310000,60.57438446039121
320000,26.469527524252577
330000,34.97432377284433
340000,35.880821203954135
350000,22.700140726515247
360000,53.93773463224337
370000,34.252041869035864
380000,23.57095574165881
390000,51.16993093715392
400000,16.780957957330024
410000,50.381629123602146
420000,38.7282214239855
430000,52.10229202667838
440000,35.58048572373025
450000,41.256226577904684
460000,34.08524994088917
470000,27.292343482752177
480000,35.716463307049715
490000,49.181617156042094
500000,39.9647944431528
