step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5497
140000,6340
150000,7208
160000,8081
170000,8930
180000,9765
190000,10615
200000,11442
210000,12354
220000,13241
230000,14081
240000,14968
250000,15767
260000,16550
270000,17546
280000,18485
290000,19363
300000,20217
310000,21145
320000,21987
330000,22816
340000,23665
350000,24588
360000,25354
370000,26222
380000,27112
390000,27931
400000,28772
410000,29617
420000,30588
430000,31396
440000,32263
450000,33165
460000,34086
470000,34885
480000,35730
490000,36573
500000,37373
