step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,10.2
140000,9.2
150000,3.8
160000,6.6
170000,4.6
180000,6.3
190000,7.0
200000,5.9
210000,8.0
220000,7.2
230000,4.5
240000,8.4
250000,8.6
260000,6.2
270000,8.5
280000,8.0
290000,8.2
300000,7.7
310000,10.0
320000,7.3
330000,8.7
340000,10.8
350000,7.5
360000,8.3
370000,4.7
380000,5.7
390000,10.0
400000,5.1
410000,7.6
420000,5.4
430000,8.1
440000,6.3
450000,9.9
460000,8.6
470000,8.1
480000,5.9
490000,8.9
500000,7.7
