step,stat/step_time
10000,3.919912576675415
20000,3.902904510498047
30000,4.03178596496582
40000,3.737602710723877
50000,3.7483389377593994
60000,4.040050029754639
70000,3.5089945793151855
80000,3.6492228507995605
90000,3.9299187660217285
100000,3.9142353534698486
110000,3.852888345718384
120000,3.8896596431732178
130000,3.6013076305389404
140000,4.014045000076294
150000,4.203479528427124
160000,3.9461989402770996
170000,4.421026706695557
180000,4.075852870941162
190000,3.6893222332000732
200000,4.257369756698608
210000,3.9474270343780518
220000,4.06124472618103
230000,4.019263029098511
240000,3.9666740894317627
250000,4.1008195877075195
260000,4.298343658447266
270000,4.436765670776367
280000,3.8404669761657715
290000,4.246173858642578
300000,3.8799703121185303
310000,3.690232038497925
320000,4.2452263832092285
330000,4.30529522895813
340000,3.99969744682312
350000,4.028815269470215
360000,3.8599345684051514
370000,4.284314393997192
380000,4.08922004699707
390000,3.8249294757843018
400000,4.5756964683532715
410000,3.8766567707061768
420000,3.9332547187805176
430000,3.880603313446045
440000,4.221085071563721
450000,3.951324462890625
460000,3.833155393600464
470000,4.366984844207764
480000,4.506341934204102
490000,4.066662073135376
500000,3.837162971496582
