step,stat/step_time
2000,0.6716306209564209
4000,0.9699552059173584
6000,0.7552475929260254
8000,0.7053604125976562
10000,0.671579122543335
12000,0.7055923938751221
14000,0.6924922466278076
16000,0.7115075588226318
18000,0.878657341003418
20000,0.705843448638916
22000,0.7313735485076904
24000,0.7111926078796387
26000,0.6621589660644531
28000,0.6387391090393066
30000,0.7286005020141602
32000,0.7305629253387451
34000,0.6195662021636963
36000,0.6478359699249268
38000,0.6419024467468262
40000,0.6432852745056152
42000,0.7682647705078125
44000,1.204491138458252
46000,1.2475254535675049
48000,0.7258098125457764
50000,0.9988701343536377
52000,0.7050349712371826
54000,0.8067371845245361
56000,0.7099578380584717
58000,0.6938097476959229
60000,0.667374849319458
62000,0.6397562026977539
