step,stat/step_time
2000,0.6748702526092529
4000,0.6990268230438232
6000,0.6406631469726562
8000,0.6239795684814453
10000,0.6619586944580078
12000,0.5869119167327881
14000,0.5803837776184082
16000,0.6037821769714355
18000,0.6371521949768066
20000,0.580660343170166
22000,0.5059046745300293
24000,0.5771784782409668
26000,0.5874803066253662
28000,0.5463106632232666
30000,0.5940580368041992
32000,0.6153092384338379
34000,0.618532657623291
36000,0.6101105213165283
38000,0.5572903156280518
40000,0.5657587051391602
42000,0.6093924045562744
44000,0.5825643539428711
46000,0.5649392604827881
48000,0.5562236309051514
50000,0.5978488922119141
52000,0.9992225170135498
54000,0.5681536197662354
56000,0.5521328449249268
58000,0.611231803894043
60000,0.6184487342834473
62000,0.5849456787109375
64000,0.561659574508667
66000,0.5990207195281982
68000,0.6151525974273682
70000,0.5653347969055176
72000,0.5946266651153564
74000,0.5759396553039551
76000,0.5498170852661133
78000,0.5695605278015137
80000,0.5584168434143066
82000,0.5487873554229736
84000,0.7865626811981201
86000,0.8226668834686279
88000,0.6034693717956543
90000,0.5704424381256104
92000,0.5596625804901123
94000,0.5366430282592773
96000,0.5864636898040771
98000,0.5390052795410156
100000,0.5519754886627197
