step,stat/ep_reward
2000,0.45601735953012235
4000,0.38413842189546216
6000,0.37548210034439056
8000,0.35834794697444305
10000,0.29430126034110254
12000,0.422640828376046
14000,0.33736023359972567
16000,0.24918270062354142
18000,0.2987367079909146
20000,0.32393389970817993
22000,0.31549839911890853
24000,0.2911055244360613
26000,0.2524900165435947
28000,0.26287515109974613
30000,0.3379153750342006
32000,0.4118044906300303
34000,0.37058112221627687
36000,0.35565126369602107
38000,0.3235903562176304
40000,0.313414091050949
42000,0.34445993239859346
44000,0.23556335476329515
46000,0.23494346439471717
48000,0.4288478697888175
50000,0.36032215912422944
52000,0.32658361806943714
54000,0.2865579807044206
56000,0.3387547605043484
58000,0.3709231568638277
60000,0.36099253420682054
62000,0.3382180961144786
64000,0.34498571383576065
66000,0.307402828926188
68000,0.33279557862682807
70000,0.24563041712156108
72000,0.26858220101500896
74000,0.3225308966167296
76000,0.29889138298494233
78000,0.26011428073603954
80000,0.240771223085214
82000,0.29187032006022784
84000,0.2794093103078863
86000,0.22050721171506416
88000,0.18658938835610175
90000,0.1950206732800506
92000,0.1943286744204738
94000,0.20135597419836646
96000,0.2778357151049585
98000,0.2945590005034102
100000,0.3276508848811236
