step,stat/ep_length
2000,11.8
4000,14.1
6000,35.5
8000,33.3
10000,46.2
12000,38.2
14000,42.0
16000,43.3
18000,44.9
20000,44.1
22000,49.0
24000,44.1
26000,68.4
28000,60.1
30000,68.0
32000,42.5
34000,48.4
36000,40.2
38000,64.6
40000,62.6
42000,47.9
44000,27.0
46000,13.3
48000,29.4
50000,33.2
52000,50.8
54000,99.1
56000,40.0
58000,44.7
60000,57.0
62000,54.7
64000,63.3
66000,75.3
68000,93.4
70000,57.2
72000,64.6
74000,52.2
76000,60.7
78000,88.6
80000,85.2
82000,100.9
84000,92.0
86000,80.5
88000,69.7
90000,84.6
92000,71.2
94000,101.2
96000,150.0
98000,150.0
100000,150.0
