step,stat/ep_return
2000,5.65198392116699
4000,5.36753460803245
6000,10.007562356960316
8000,10.610754830310661
10000,13.741714571240454
12000,16.08112120951423
14000,14.62538096166808
16000,9.83685511303041
18000,13.476764998603988
20000,14.656618077972407
22000,13.78376704658869
24000,14.12017203351908
26000,20.81495862013574
28000,16.147875158526915
30000,26.2737339956882
32000,15.380126517278114
34000,19.01411358288113
36000,12.516679087202734
38000,18.48417933123323
40000,20.823044219092896
42000,17.478911115394972
44000,6.973855760791812
46000,3.4755627717444617
48000,11.091228814705936
50000,12.313554565890016
52000,14.768738357543143
54000,30.933054078778298
56000,11.517172177420496
58000,15.112879170427494
60000,18.940313690404867
62000,18.406090127170657
64000,22.56340159334317
66000,27.33449397437108
68000,33.94303257319877
70000,15.644108450612311
72000,18.381450449511895
74000,16.06902651614856
76000,18.764273334840464
78000,25.875156468015746
80000,22.81099975057674
82000,31.26009236314677
84000,27.364315519024814
86000,19.952270225551157
88000,16.290464515509935
90000,18.37029679290339
92000,16.385638536476343
94000,23.286935393800878
96000,41.675357265743784
98000,44.183850075511536
100000,49.147632732168546
