step,adv_reward/adv_reward_raw_mean
2000,-2.253481864929199
4000,-3.573089361190796
6000,42.31405258178711
8000,-7.03448486328125
10000,30.754291534423828
12000,-14.351500511169434
14000,289.70635986328125
16000,21.73149299621582
18000,19.654897689819336
20000,-6.3853654861450195
22000,-10.33729362487793
24000,184.27102661132812
26000,18.18023681640625
28000,48.47216796875
30000,211.70147705078125
32000,137.53802490234375
34000,-3.85622239112854
36000,-15.108857154846191
38000,395.2333679199219
40000,-2.917149543762207
42000,-20.495784759521484
44000,4.477348327636719
46000,345.3447265625
48000,-10.77402114868164
50000,-10.248078346252441
52000,285.054443359375
54000,178.47572326660156
56000,-10.203984260559082
58000,70.98942565917969
60000,179.19126892089844
62000,-10.099990844726562
64000,-8.600427627563477
66000,-14.295730590820312
68000,-6.456742286682129
70000,151.84463500976562
72000,366.2441711425781
74000,-10.232458114624023
76000,-6.227121829986572
78000,50.9444580078125
80000,46.33385467529297
82000,173.714599609375
84000,147.23361206054688
86000,326.2470397949219
88000,-10.461186408996582
90000,-16.673858642578125
92000,-10.605093002319336
94000,235.08010864257812
96000,48.33936309814453
98000,86.7545166015625
100000,-9.699594497680664
