step,stat/step_time
10000,3.652495861053467
20000,3.9037070274353027
30000,3.9667437076568604
40000,3.742530584335327
50000,3.714402198791504
60000,4.057631492614746
70000,3.5149362087249756
80000,3.644299030303955
90000,3.807903289794922
100000,3.852426767349243
110000,3.7579967975616455
120000,3.987959384918213
130000,4.447784662246704
140000,3.9341185092926025
150000,3.6300272941589355
160000,4.015170335769653
170000,3.921473741531372
180000,4.507369518280029
190000,3.8589584827423096
200000,3.8802945613861084
210000,4.159610033035278
220000,4.277650356292725
230000,3.9558236598968506
240000,3.9580440521240234
250000,4.205897808074951
260000,4.234176874160767
270000,4.1365673542022705
280000,3.681562900543213
290000,3.882535934448242
300000,6.302163362503052
310000,3.9820170402526855
320000,4.400594234466553
330000,3.9598188400268555
340000,3.9070863723754883
350000,4.08431339263916
360000,3.9054081439971924
370000,5.9540696144104
380000,4.064502239227295
390000,3.996958017349243
400000,3.77055287361145
410000,4.487704277038574
420000,3.818655490875244
430000,4.144732475280762
440000,3.561210870742798
450000,3.8870558738708496
460000,3.721062183380127
470000,4.089088678359985
480000,4.242604494094849
490000,4.1680848598480225
500000,7.408583164215088
