step,adv_reward/adv_reward_raw_min
2000,-100.0
4000,91.85755920410156
6000,175.82662963867188
8000,93.05079650878906
10000,203.11378479003906
12000,86.05061340332031
14000,272.288330078125
16000,132.94439697265625
18000,278.3598937988281
20000,-100.0
22000,-16.9902400970459
24000,-10.124663352966309
26000,178.0313262939453
28000,130.13221740722656
30000,5.449991226196289
32000,57.19097137451172
34000,-15.0
36000,29.609312057495117
38000,229.49205017089844
40000,30.654766082763672
42000,6.629589557647705
44000,-17.982820510864258
46000,80.36199188232422
48000,172.65859985351562
50000,-15.0
52000,-15.0
54000,-15.0
56000,183.65512084960938
58000,51.66838836669922
60000,-15.0
62000,-15.0
64000,96.00999450683594
66000,-15.0
68000,83.4131088256836
70000,281.09222412109375
72000,-15.0
74000,-15.985381126403809
76000,22.29446029663086
78000,134.0135040283203
80000,42.94200897216797
82000,110.86614990234375
84000,4.583848476409912
86000,71.78140258789062
88000,-18.348697662353516
90000,158.6641082763672
92000,143.4591064453125
94000,173.49383544921875
96000,91.17384338378906
98000,5.5920844078063965
100000,28.514019012451172
