step,adv_reward/adv_reward_scaled_min
2000,68.27716064453125
4000,-99.99967956542969
6000,100.0
8000,99.9585189819336
10000,99.99999237060547
12000,100.0
14000,100.0
16000,100.0
18000,100.0
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,98.76270294189453
30000,100.0
32000,100.0
34000,-9.276379585266113
36000,36.745479583740234
38000,-52.53171920776367
40000,56.103214263916016
42000,100.0
44000,99.9705581665039
46000,100.0
48000,98.13007354736328
50000,-53.403141021728516
52000,100.0
54000,100.0
56000,100.0
58000,13.722517013549805
60000,10.408417701721191
62000,82.29003143310547
64000,100.0
66000,99.99999237060547
68000,48.713748931884766
70000,100.0
72000,100.0
74000,14.688248634338379
76000,76.25999450683594
78000,99.98109436035156
80000,-35.54907989501953
82000,100.0
84000,99.97689819335938
86000,100.0
88000,99.96125030517578
90000,100.0
92000,100.0
94000,100.0
96000,99.97573852539062
98000,100.0
100000,-2.7930266857147217
