step,adv_reward/adv_reward_raw_max
2000,64.39173889160156
4000,284.6939697265625
6000,193.36997985839844
8000,84.59622192382812
10000,132.9272003173828
12000,267.7827453613281
14000,382.0684814453125
16000,328.5594482421875
18000,378.4651184082031
20000,145.3501739501953
22000,163.19818115234375
24000,187.2595672607422
26000,282.9071960449219
28000,47.2362174987793
30000,449.4668273925781
32000,178.08309936523438
34000,13.188461303710938
36000,19.176483154296875
38000,6.617396354675293
40000,73.93256378173828
42000,346.15228271484375
44000,83.68938446044922
46000,155.71392822265625
48000,37.781803131103516
50000,8.351850509643555
52000,245.59768676757812
54000,421.431640625
56000,166.34466552734375
58000,17.411014556884766
60000,5.763503551483154
62000,33.82606506347656
64000,192.92881774902344
66000,132.90048217773438
68000,25.711885452270508
70000,428.250732421875
72000,202.5876007080078
74000,10.095372200012207
76000,50.873233795166016
78000,73.06171417236328
80000,5.4385881423950195
82000,265.0790100097656
84000,70.1976089477539
86000,184.70896911621094
88000,67.59361267089844
90000,285.4820556640625
92000,177.97508239746094
94000,237.52146911621094
96000,78.88810729980469
98000,312.7284851074219
100000,15.390020370483398
