step,loss/entropy_loss
2000,-0.9261128723621368
4000,-0.9178113649288813
6000,-0.9151442726453144
8000,-0.9164218425750732
10000,-0.900925232966741
12000,-0.8833570639292398
14000,-0.869037569562594
16000,-0.8639390269915262
18000,-0.8640277276436488
20000,-0.832938911517461
22000,-0.8168055564165118
24000,-0.8021601239840189
26000,-0.7888556222120922
28000,-0.7936968932549158
30000,-0.7792630632718405
32000,-0.777488719423612
34000,-0.7788879891236624
36000,-0.7732587496439616
38000,-0.7566574523846309
40000,-0.76051524579525
42000,-0.7684609323740006
44000,-0.7530120611190796
46000,-0.7530120611190796
48000,-0.7527140974998474
50000,-0.752714909116427
52000,-0.7525132894515991
54000,-0.7491897940635681
56000,-0.7491897940635681
58000,-0.7491897940635681
60000,-0.7491897940635681
62000,-0.7491897940635681
64000,-0.7491897940635681
66000,-0.7491897940635681
68000,-0.7488049864768982
70000,-0.7488049864768982
72000,-0.7500208020210266
74000,-0.7500208020210266
76000,-0.7500208020210266
78000,-0.7500208020210266
80000,-0.7500208020210266
82000,-0.7500208020210266
84000,-0.7500208020210266
86000,-0.7500208020210266
88000,-0.7500208020210266
90000,-0.7500208020210266
92000,-0.7500208020210266
94000,-0.7500208020210266
96000,-0.7500208020210266
98000,-0.7500208020210266
100000,-0.7500208020210266
