step,loss/approx_kl
2000,-0.06229890927982827
4000,-0.02416148030509551
6000,-0.10489454821993907
8000,-0.04898545189450185
10000,-0.0678917542177563
12000,-0.05351025444300224
14000,-0.07346806392694513
16000,-0.051738972589373586
18000,-0.06951616643927991
20000,0.046443433081731204
22000,-0.035303060524165625
24000,-0.0004827113201220826
26000,-0.05640484786902865
28000,-0.06105822568448881
30000,-0.06748906252905727
32000,-0.053668638691306114
34000,-0.06517797329773506
36000,0.02036142643385877
38000,-0.07827876303344965
40000,-0.0706451659866919
42000,-0.05193794303728888
44000,0.1939681590224306
46000,0.3421264472107093
48000,0.44418627147873246
50000,0.265357165535291
52000,0.4784667459626992
54000,0.5007564147313436
56000,0.37408501530687016
58000,0.5589833406110605
60000,0.4892528022329013
62000,0.40372992381453515
64000,0.4731050208210945
66000,0.5255470191438993
68000,0.37384358303000526
70000,0.439331037302812
72000,0.47197615305582685
74000,0.25714763458818196
76000,0.5444861166179181
78000,0.5199680586655935
80000,0.37782532349228853
82000,0.6072836228956778
84000,0.5041906148195268
86000,0.34850144560138385
88000,0.5040099576115609
90000,0.47951788877447454
92000,0.34947608672082425
94000,0.5052559539675712
96000,0.4906715390582879
98000,0.20131830411652724
100000,0.5312559152642886
