step,adv_reward/adv_reward_scaled_min
2000,-0.9640275835990906
4000,-0.9640275835990906
6000,0.0019991155713796616
8000,-0.9640275835990906
10000,-0.9640275835990906
12000,0.0014183627208694816
14000,-0.9640275835990906
16000,-0.9640275835990906
18000,0.0023114015348255634
20000,-0.9640275835990906
22000,-0.9640275835990906
24000,0.0011540503473952413
26000,-0.9640275835990906
28000,-0.9640275835990906
30000,0.001643180614337325
32000,-0.9640275835990906
34000,-0.9640275835990906
36000,0.001842853962443769
38000,-0.9640275835990906
40000,-0.9640275835990906
42000,0.0017723137279972434
44000,-0.9640275835990906
46000,-0.9640275835990906
48000,0.002233365783467889
50000,-0.9640275835990906
52000,-0.9640275835990906
54000,0.0010843855561688542
56000,-0.9640275835990906
58000,-0.9640275835990906
60000,0.0020774677395820618
62000,-0.9640275835990906
