step,adv_reward/adv_reward_scaled_max
2000,0.0016258753603324294
4000,0.0013937836047261953
6000,0.004330986179411411
8000,0.001728453440591693
10000,0.0012701267842203379
12000,0.003655045758932829
14000,-0.9640275835990906
16000,-0.9640275835990906
18000,0.00739632872864604
20000,0.0009701739763841033
22000,-0.9640275835990906
24000,0.008366010151803493
26000,0.0014522954588755965
28000,0.0011640851153060794
30000,0.0034435943234711885
32000,-0.9640275835990906
34000,-0.9640275835990906
36000,0.004988223779946566
38000,0.0017998170806095004
40000,0.0013814845588058233
42000,0.0044816648587584496
44000,0.0014158171834424138
46000,0.0017459325026720762
48000,0.006143306847661734
50000,0.001449545961804688
52000,0.001587971462868154
54000,0.0060067870654165745
56000,0.0014914644416421652
58000,-0.9640275835990906
60000,0.00559950340539217
62000,0.0011562576983124018
