step,adv_reward/adv_reward_raw_max
2000,0.812938392162323
4000,0.696892261505127
6000,2.165506601333618
8000,0.8642275929450989
10000,0.6350637674331665
12000,1.827531099319458
14000,-1000.0
16000,-1000.0
18000,3.6982319355010986
20000,0.485087126493454
22000,-1000.0
24000,4.183102607727051
26000,0.726148247718811
28000,0.5820428133010864
30000,1.7218040227890015
32000,-1000.0
34000,-1000.0
36000,2.4941325187683105
38000,0.899909496307373
40000,0.6907427310943604
42000,2.24084734916687
44000,0.7079090476036072
46000,0.8729671239852905
48000,3.0716922283172607
50000,0.7247735261917114
52000,0.7939863801002502
54000,3.003429651260376
56000,0.7457327842712402
58000,-1000.0
60000,2.799781084060669
62000,0.5781291127204895
