step,adv_reward/adv_reward_raw_min
2000,-1000.0
4000,-1000.0
6000,0.9995591044425964
8000,-1000.0
10000,-1000.0
12000,0.7091817855834961
14000,-1000.0
16000,-1000.0
18000,1.155702829360962
20000,-1000.0
22000,-1000.0
24000,0.5770254731178284
26000,-1000.0
28000,-1000.0
30000,0.8215910196304321
32000,-1000.0
34000,-1000.0
36000,0.9214280247688293
38000,-1000.0
40000,-1000.0
42000,0.886157751083374
44000,-1000.0
46000,-1000.0
48000,1.1166847944259644
50000,-1000.0
52000,-1000.0
54000,0.5421929955482483
56000,-1000.0
58000,-1000.0
60000,1.0387353897094727
62000,-1000.0
