step,adv_reward/adv_reward_scaled_mean
2000,-0.48129963874816895
4000,-0.7226722240447998
6000,0.0031716926023364067
8000,-0.7225885987281799
10000,-0.48147138953208923
12000,0.0025622963439673185
14000,-0.9640275835990906
16000,-0.9640275835990906
18000,0.004909840878099203
20000,-0.7227781414985657
22000,-0.9640275835990906
24000,0.0036692421417683363
26000,-0.4814525246620178
28000,-0.7227296829223633
30000,0.002733428031206131
32000,-0.9640275835990906
34000,-0.9640275835990906
36000,0.0032302257604897022
38000,-0.7225707173347473
40000,-0.7226753234863281
42000,0.002857723506167531
44000,-0.7226667404174805
46000,-0.4812413156032562
48000,0.0034744776785373688
50000,-0.4813258647918701
52000,-0.4813663065433502
54000,0.003087942721322179
56000,-0.4812815487384796
58000,-0.9640275835990906
60000,0.004240361973643303
62000,-0.7227315902709961
