step,stat/ep_reward
10000,0.4100188247896271
20000,0.4865265509581084
30000,0.3762713320961469
40000,0.45108160991107155
50000,0.29389452206298783
60000,0.49497997137997213
70000,0.4843165255802308
80000,0.3902826990301683
90000,0.4336767263036222
100000,0.3000103732593796
110000,0.4882620875138257
120000,0.39183102977959977
130000,0.35193818809068544
140000,0.3629581031405563
150000,0.4721314767793034
160000,0.38718563141353396
170000,0.38308524991706794
180000,0.22240332275298663
190000,0.3579341769046428
200000,0.33817235459508593
210000,0.3463671611112127
220000,0.43051269856693963
230000,0.4378038803872939
240000,0.42257314616620106
250000,0.4330050789072787
260000,0.3291020504800289
270000,0.38367613155129593
280000,0.2761786959081875
290000,0.3471764411087733
300000,0.45077837388210035
310000,0.3589301338380489
320000,0.38548224819390986
330000,0.3451942796642188
340000,0.4100971451843625
350000,0.3845090581884263
360000,0.3021432324152898
370000,0.3052675189246795
380000,0.47344334849384706
390000,0.30513842212870734
400000,0.41256453382207364
410000,0.40318295085026906
420000,0.36302132851664026
430000,0.36497791689291115
440000,0.44422124691649767
450000,0.3297220117919955
460000,0.3639853905540419
470000,0.34926366570643685
480000,0.3867891930542554
490000,0.32261711764061046
500000,0.35386100355861305
