step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5400
140000,6077
150000,6827
160000,7485
170000,8284
180000,9012
190000,9745
200000,10589
210000,11239
220000,11944
230000,12727
240000,13562
250000,14320
260000,14857
270000,15641
280000,16357
290000,16975
300000,17680
310000,18380
320000,19088
330000,19813
340000,20643
350000,21538
360000,22196
370000,22951
380000,23692
390000,24430
400000,25233
410000,25987
420000,26774
430000,27328
440000,27953
450000,28717
460000,29418
470000,30166
480000,30808
490000,31681
500000,32462
