step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,43.47864826607968
140000,43.962107647106635
150000,82.87376768368132
160000,35.759633432110334
170000,54.84964880983803
180000,16.861862257776103
190000,40.37618992116376
200000,31.437322478440922
210000,42.27993641838818
220000,41.246715537895284
230000,54.00561550365794
240000,61.55813495473025
250000,52.64618044772531
260000,25.670901993091935
270000,52.26820262814895
280000,24.12431591352017
290000,34.90011873170703
300000,63.930164689629535
310000,31.516778530778794
320000,39.93372491695423
330000,34.59225095208538
340000,50.04476814579411
350000,41.94548431677049
360000,29.3612266469356
370000,35.32983238586293
380000,48.5722390691569
390000,19.635397658222182
400000,35.05286969085558
410000,54.763775524435516
420000,49.701694194331125
430000,59.18072654147687
440000,37.66790410758793
450000,38.073024667399515
460000,44.80116958380266
470000,31.247980166586366
480000,47.1384792803011
490000,42.08682686650972
500000,30.618078705502683
