step,adv_reward/adv_reward_raw_max
2000,36.702911376953125
4000,422.91790771484375
6000,223.3924102783203
8000,25.469663619995117
10000,105.36727142333984
12000,229.48622131347656
14000,268.3813781738281
16000,33.93144226074219
18000,180.1358642578125
20000,80.92388153076172
22000,37.07874298095703
24000,273.7989501953125
26000,177.14373779296875
28000,-1.561842679977417
30000,1.1849758625030518
32000,427.6166076660156
34000,261.9057312011719
36000,-2.559396266937256
38000,220.22207641601562
40000,-7.324756622314453
42000,196.02659606933594
44000,231.63385009765625
46000,180.78968811035156
48000,10.141571998596191
50000,127.83466339111328
52000,413.4927978515625
54000,148.176025390625
56000,324.5062561035156
58000,21.065753936767578
60000,12.236526489257812
62000,0.8375388383865356
64000,9.202418327331543
66000,78.78966522216797
68000,-0.3458920121192932
70000,-9.311939239501953
72000,249.71353149414062
74000,135.2140655517578
76000,245.22486877441406
78000,123.95580291748047
80000,60.59584426879883
82000,339.9848937988281
84000,423.84613037109375
86000,292.70166015625
88000,98.29901123046875
90000,-3.9472687244415283
92000,31.433441162109375
94000,5.520211696624756
96000,-5.611204147338867
98000,-5.868628978729248
100000,25.404861450195312
