step,adv_reward/adv_reward_raw_mean
2000,-18.536678314208984
4000,392.8704528808594
6000,215.28750610351562
8000,-1.4851679801940918
10000,96.40413665771484
12000,224.1087646484375
14000,173.50894165039062
16000,28.442291259765625
18000,176.362548828125
20000,70.11244201660156
22000,29.856199264526367
24000,236.60604858398438
26000,171.41384887695312
28000,-11.245417594909668
30000,-6.892392158508301
32000,423.0761413574219
34000,250.06883239746094
36000,-7.671218395233154
38000,218.11712646484375
40000,-11.120631217956543
42000,194.05479431152344
44000,225.9718780517578
46000,173.98045349121094
48000,-7.641389846801758
50000,122.32919311523438
52000,408.26409912109375
54000,142.74038696289062
56000,317.002197265625
58000,-5.33129358291626
60000,-0.8511190414428711
62000,-4.806478023529053
64000,-3.087707757949829
66000,72.31877899169922
68000,-6.307816982269287
70000,-14.285663604736328
72000,238.59214782714844
74000,131.05828857421875
76000,239.56089782714844
78000,121.96549987792969
80000,56.91628646850586
82000,337.781494140625
84000,422.77813720703125
86000,283.9934387207031
88000,95.12596130371094
90000,-7.776332855224609
92000,1.6456239223480225
94000,-6.702884197235107
96000,-11.805702209472656
98000,-8.17586612701416
100000,19.85024070739746
