step,loss/entropy_loss
2000,-0.9086017698049543
4000,-0.853433398405711
6000,-0.8166147927443186
8000,-0.778036309281985
10000,-0.7437582870324453
12000,-0.7578920354445776
14000,-0.7383708904186884
16000,-0.7036868969599406
18000,-0.6673282970984776
20000,-0.6405449748039245
22000,-0.6330703149239223
24000,-0.6097586433092752
26000,-0.5925015072027842
28000,-0.5796757012605668
30000,-0.5849127312501271
32000,-0.5880060821771622
34000,-0.5799018770456315
36000,-0.582267055908839
38000,-0.5662343978881836
40000,-0.5420513689517975
42000,-0.5271218319733937
44000,-0.5122473279635111
46000,-0.5086425830920538
48000,-0.48511188824971513
50000,-0.47667611738046006
52000,-0.45007413923740386
54000,-0.45595211287339527
56000,-0.4453333268562953
58000,-0.43082421322663633
60000,-0.4385466903448105
62000,-0.44623226026693985
64000,-0.4510107924540838
66000,-0.4574176440636317
68000,-0.42960349917411805
70000,-0.40602255264918014
72000,-0.40619119803110754
74000,-0.3998356103897094
76000,-0.38598480621973674
78000,-0.37067569891611735
80000,-0.364936759074529
82000,-0.35590770840644836
84000,-0.35778484741846717
86000,-0.3603789945443471
88000,-0.34265218774477646
90000,-0.34535224835077927
92000,-0.3326991657416026
94000,-0.32347380320231117
96000,-0.3080828328927358
98000,-0.3085021257400513
100000,-0.3065829734007518
