step,stat/ep_return
2000,12.485524474992877
4000,6.27168910807831
6000,8.40746445021606
8000,9.379233366532006
10000,14.248743398088312
12000,17.872850182158377
14000,15.779420613412
16000,11.453358699500097
18000,14.021624401490834
20000,11.566837927268299
22000,11.67558588301031
24000,16.70699988663922
26000,23.64098983815187
28000,11.51589529729626
30000,12.895631235251008
32000,10.421497145199243
34000,15.8584720154364
36000,15.411138617330957
38000,27.536033867771785
40000,16.63597981383371
42000,27.800359674367275
44000,16.99196039321289
46000,23.69474792102005
48000,27.72468888091791
50000,27.524381330272643
52000,25.879719844157723
54000,22.520273707281717
56000,10.543459541529746
58000,10.844835718415123
60000,22.039582898665316
62000,20.673505216211204
64000,28.433445257204983
66000,32.25065843562874
68000,54.95246849519394
70000,35.907355399399485
72000,13.129582029069837
74000,13.159109436391201
76000,14.721472266638344
78000,40.3848612119032
80000,28.690359384824934
82000,30.681582674657147
84000,40.10717911197919
86000,33.83797507578123
88000,8.714881582667717
90000,39.8439984139719
92000,25.033925590912094
94000,36.339102279090824
96000,45.739974547390524
98000,17.411388067034608
100000,43.96534373866739
