step,stat/step_time
10000,3.6847357749938965
20000,3.9174883365631104
30000,4.017794847488403
40000,3.905028820037842
50000,3.7393147945404053
60000,4.062051773071289
70000,3.4930057525634766
80000,3.6567955017089844
90000,3.9840478897094727
100000,3.912484884262085
110000,3.7625904083251953
120000,3.905229091644287
130000,4.040552854537964
140000,4.192031383514404
150000,3.763840436935425
160000,4.3437488079071045
170000,4.203259229660034
180000,4.680047035217285
190000,3.780402660369873
200000,3.9265239238739014
210000,6.251281261444092
220000,3.99629807472229
230000,3.5034778118133545
240000,3.95460844039917
250000,4.182810544967651
260000,3.977262258529663
270000,3.4994611740112305
280000,3.6910722255706787
290000,4.121151685714722
300000,3.715081214904785
310000,4.248965501785278
320000,4.472370147705078
330000,3.9346487522125244
340000,4.35395359992981
350000,3.948958396911621
360000,3.9228179454803467
370000,4.107419013977051
380000,4.1455442905426025
390000,3.8966665267944336
400000,3.7926971912384033
410000,4.206653356552124
420000,4.3082170486450195
430000,4.213864803314209
440000,4.123394966125488
450000,3.7633180618286133
460000,4.036121606826782
470000,4.114325284957886
480000,4.6024675369262695
490000,3.7827587127685547
500000,3.7460649013519287
