step,stat/constraint_violation
2000,1075
4000,2143
6000,3327
8000,4406
10000,5577
12000,6807
14000,7934
16000,9145
18000,10346
20000,11507
22000,12656
24000,13851
26000,14987
28000,16108
30000,17327
32000,18548
34000,19812
36000,21022
38000,22197
40000,23424
42000,24680
44000,25775
46000,26903
48000,28142
50000,29197
52000,30402
54000,31593
56000,32726
58000,33820
60000,35019
62000,36173
64000,37356
66000,38541
68000,39648
70000,40879
72000,42142
74000,43338
76000,44564
78000,45838
80000,47000
82000,48269
84000,49450
86000,50697
88000,51888
90000,53138
92000,54361
94000,55584
96000,56800
98000,58036
100000,59253
