step,loss/policy_loss
2000,-0.01602355671058018
4000,-0.02719687328431649
6000,-0.013826040386939594
8000,-0.011777790030234686
10000,-0.014923783454034814
12000,-0.012055101157308554
14000,0.02329031153281649
16000,0.057810261443148034
18000,0.07113092757667108
20000,0.08217639470661761
22000,-0.011486183230949559
24000,-0.00946906580872878
26000,0.0370319712689968
28000,-0.016351190839732212
30000,0.06867245773783087
32000,0.021889155060152175
34000,0.2213100977070855
36000,-0.005728824383452173
38000,0.23904384396049444
40000,-0.013450261263940342
42000,0.008573934800653226
44000,0.010670778389294396
46000,0.0438330643564071
48000,-0.01438245739448001
50000,0.03118056510528392
52000,-0.012339474574541662
54000,0.08936464061928162
56000,0.14130293258877683
58000,0.03779626332763292
60000,0.06961607861537265
62000,-0.0003233503471618362
64000,0.043137743316807094
66000,0.04968814941167377
68000,0.03816792227976159
70000,0.0814632185299673
72000,0.08832466513218076
74000,0.024840988884834863
76000,-0.013625205497136219
78000,0.014033327868114228
80000,0.06052937491696101
82000,0.003579173546149119
84000,0.019887161280656766
86000,0.05720393176154468
88000,0.02072238596160104
90000,0.018149929634964496
92000,0.032309761591309154
94000,0.0653243070907503
96000,0.02769102623773311
98000,0.10126635890164674
100000,0.11292678828745262
