step,stat/step_time
2000,0.6635632514953613
4000,0.6243407726287842
6000,0.6747951507568359
8000,0.643486499786377
10000,0.6152935028076172
12000,0.7350327968597412
14000,0.6547701358795166
16000,0.6354913711547852
18000,0.6326854228973389
20000,0.6395411491394043
22000,0.574641227722168
24000,0.6608633995056152
26000,0.6078610420227051
28000,0.9169535636901855
30000,0.615394115447998
32000,0.611828088760376
34000,0.5385289192199707
36000,0.6047470569610596
38000,0.5774378776550293
40000,0.5899162292480469
42000,0.6038122177124023
44000,0.588986873626709
46000,0.572314977645874
48000,0.587338924407959
50000,0.5898311138153076
52000,0.5527420043945312
54000,0.5562314987182617
56000,0.5535037517547607
58000,0.5475983619689941
60000,0.543541431427002
62000,0.5693395137786865
64000,0.6046438217163086
66000,0.5813479423522949
68000,0.5599901676177979
70000,0.5287909507751465
72000,0.555647611618042
74000,0.5433886051177979
76000,0.5192172527313232
78000,0.5489051342010498
80000,0.5355870723724365
82000,0.5322220325469971
84000,0.836195707321167
86000,0.5327892303466797
88000,0.5212955474853516
90000,0.5716884136199951
92000,0.526482105255127
94000,0.5377078056335449
96000,0.545475959777832
98000,0.5154685974121094
100000,0.5213661193847656
