step,stat/constraint_violation
2000,1077
4000,2173
6000,3204
8000,4178
10000,5149
12000,6115
14000,7059
16000,8040
18000,8970
20000,9824
22000,10655
24000,11539
26000,12276
28000,12968
30000,13794
32000,14535
34000,15267
36000,16007
38000,16750
40000,17435
42000,18176
44000,18765
46000,19480
48000,20388
50000,21212
52000,21856
54000,23010
56000,24007
58000,25080
60000,26259
62000,27360
64000,28495
66000,29636
68000,30658
70000,31823
72000,33039
74000,34163
76000,35349
78000,36536
80000,37662
82000,38885
84000,40058
86000,41152
88000,42330
90000,43441
92000,44550
94000,45731
96000,46922
98000,47981
100000,49064
