step,stat/ep_constraint_violation
2000,9.8
4000,13.4
6000,15.2
8000,16.5
10000,17.0
12000,19.7
14000,16.2
16000,17.4
18000,15.8
20000,17.2
22000,16.9
24000,23.9
26000,21.2
28000,27.4
30000,32.6
32000,34.9
34000,19.3
36000,20.4
38000,22.7
40000,25.5
42000,31.4
44000,28.2
46000,30.9
48000,23.1
50000,36.1
52000,28.4
54000,24.9
56000,25.9
58000,26.0
60000,28.7
62000,25.8
64000,24.8
66000,27.9
68000,24.1
70000,25.0
72000,27.9
74000,26.2
76000,26.2
78000,27.7
80000,26.2
82000,24.0
84000,23.7
86000,24.5
88000,26.8
90000,25.9
92000,25.7
94000,28.4
96000,28.8
98000,25.0
100000,22.7
