step,adv_reward/adv_reward_raw_max
2000,51.819969177246094
4000,224.80596923828125
6000,188.7425537109375
8000,349.6236267089844
10000,100.64496612548828
12000,-10.804376602172852
14000,376.1907653808594
16000,-4.9676289558410645
18000,252.4071044921875
20000,5.328163146972656
22000,113.05689239501953
24000,244.6459197998047
26000,180.01358032226562
28000,85.54419708251953
30000,-10.137310028076172
32000,188.327392578125
34000,185.14199829101562
36000,-9.579341888427734
38000,317.24554443359375
40000,-1.4309214353561401
42000,253.59625244140625
44000,117.80240631103516
46000,-9.196754455566406
48000,114.3119125366211
50000,317.4761657714844
52000,170.0550079345703
54000,199.13865661621094
56000,167.1683349609375
58000,-8.368948936462402
60000,29.91579818725586
62000,-6.694034099578857
64000,23.04558753967285
66000,-8.139631271362305
68000,10.553765296936035
70000,207.9846954345703
72000,507.5653076171875
74000,-5.885170936584473
76000,-4.940855979919434
78000,15.360433578491211
80000,307.05517578125
82000,467.6611328125
84000,419.9925537109375
86000,471.1764221191406
88000,92.7916488647461
90000,-9.994532585144043
92000,-6.956846237182617
94000,142.73855590820312
96000,129.0722198486328
98000,12.619105339050293
100000,-2.312671184539795
