step,adv_reward/adv_reward_scaled_min
2000,98.09847259521484
4000,100.0
6000,100.0
8000,100.0
10000,99.99546813964844
12000,-67.3741683959961
14000,-99.99967956542969
16000,-62.578277587890625
18000,100.0
20000,-88.6650161743164
22000,99.99983215332031
24000,100.0
26000,100.0
28000,99.91564178466797
30000,-89.72313690185547
32000,100.0
34000,100.0
36000,-89.89264678955078
38000,100.0
40000,-88.94408416748047
42000,100.0
44000,99.99646759033203
46000,-65.4957046508789
48000,99.99993133544922
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,-90.81389617919922
60000,74.70342254638672
62000,-65.61094665527344
64000,83.20356750488281
66000,-65.46417236328125
68000,-90.28338623046875
70000,100.0
72000,100.0
74000,-91.18960571289062
76000,-89.71954345703125
78000,59.10401916503906
80000,100.0
82000,100.0
84000,100.0
86000,100.0
88000,99.9982681274414
90000,-67.23130798339844
92000,-92.31493377685547
94000,99.99999237060547
96000,99.99999237060547
98000,-2.3287012577056885
100000,-90.2044677734375
