step,adv_reward/adv_reward_raw_mean
2000,42.68327331542969
4000,208.06195068359375
6000,182.88214111328125
8000,340.35333251953125
10000,90.52173614501953
12000,-11.506499290466309
14000,245.82928466796875
16000,-8.73027515411377
18000,246.35675048828125
20000,-5.723479747772217
22000,109.52925109863281
24000,241.96530151367188
26000,175.69259643554688
28000,71.82050323486328
30000,-13.72046947479248
32000,182.44564819335938
34000,168.33177185058594
36000,-13.71408462524414
38000,312.3225402832031
40000,-12.945496559143066
42000,245.0819549560547
44000,92.66397094726562
46000,-10.30329704284668
48000,113.17622375488281
50000,296.85943603515625
52000,160.4969482421875
54000,191.68154907226562
56000,147.6917724609375
58000,-12.69189739227295
60000,23.660491943359375
62000,-10.022997856140137
64000,19.496049880981445
66000,-10.288246154785156
68000,-4.9107441902160645
70000,197.90386962890625
72000,504.76812744140625
74000,-13.32403564453125
76000,-12.084184646606445
78000,12.13486099243164
80000,301.9232177734375
82000,463.9468994140625
84000,417.0567626953125
86000,466.192138671875
88000,90.6934585571289
90000,-10.82161808013916
92000,-14.092697143554688
94000,138.0221405029297
96000,127.51219177246094
98000,3.9522266387939453
100000,-10.958636283874512
