step,loss/policy_loss
10000,0.016613024988908615
20000,0.13194910851591973
30000,0.2612744208119285
40000,0.05752744795826046
50000,0.061537707853798695
60000,0.04649302569917568
70000,0.12325025475404798
80000,0.019405987661950452
90000,0.5304854979594953
100000,0.05287541148879381
110000,0.1556384650408669
120000,0.044792954396196356
130000,0.06599449278477265
140000,0.11297107632175771
150000,0.4436986721024027
160000,0.11162003564580529
170000,-0.014512121334767725
180000,0.42846406428625333
190000,-0.018852733092885467
200000,0.04759654796948115
210000,0.4199240959493834
220000,-0.026743074900963282
230000,-0.010589393178622128
240000,0.8280673763021724
250000,0.07667387319857585
260000,0.03979062316595235
270000,0.04688786417620739
280000,-0.02130543420133525
290000,0.1256151379061081
300000,0.09658879138622636
310000,0.1341009736574988
320000,0.10451927586083973
330000,0.15441425506723808
340000,3.1130258204593835
350000,1.919809025284933
360000,0.12162734489920654
370000,0.05718981153371785
380000,0.08891330995350732
390000,0.036301242185601164
400000,0.08830553842588326
410000,0.08703225225139827
420000,0.04678086262374839
430000,-0.019620950937740914
440000,-0.008229613126336691
450000,-0.007098399630363923
460000,-0.0019744371177665507
470000,0.8063253981092598
480000,0.11152913227503139
490000,0.001009522655686445
500000,-0.01740098081016559
