step,adv_reward/adv_reward_scaled_max
2000,100.0
4000,100.0
6000,100.0
8000,10.09298038482666
10000,96.16333770751953
12000,99.99519348144531
14000,100.0
16000,99.99999237060547
18000,-56.368343353271484
20000,100.0
22000,66.12020874023438
24000,99.99937438964844
26000,100.0
28000,-20.46916961669922
30000,84.8410873413086
32000,100.0
34000,-39.061553955078125
36000,94.20010375976562
38000,100.0
40000,99.99929809570312
42000,99.99685668945312
44000,94.94581604003906
46000,100.0
48000,100.0
50000,32.062538146972656
52000,37.87216567993164
54000,100.0
56000,-25.343854904174805
58000,99.99991607666016
60000,83.81395721435547
62000,-52.905052185058594
64000,100.0
66000,99.99797058105469
68000,100.0
70000,99.98274230957031
72000,100.0
74000,100.0
76000,100.0
78000,99.99139404296875
80000,-23.073089599609375
82000,100.0
84000,-56.93977355957031
86000,-49.56304168701172
88000,99.99464416503906
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,-34.74907302856445
