step,adv_reward/adv_reward_raw_min
2000,135.9075164794922
4000,-100.0
6000,183.12738037109375
8000,-23.58929443359375
10000,3.7060892581939697
12000,77.1867446899414
14000,-100.0
16000,124.4528579711914
18000,-24.469257354736328
20000,259.161865234375
22000,-11.792902946472168
24000,90.77769470214844
26000,168.23495483398438
28000,-13.163561820983887
30000,4.712033748626709
32000,240.86341857910156
34000,-23.83437728881836
36000,11.047835350036621
38000,240.52243041992188
40000,66.67341613769531
42000,69.806396484375
44000,-14.032917022705078
46000,249.96380615234375
48000,144.6696319580078
50000,-24.035825729370117
52000,-24.728994369506836
54000,132.56155395507812
56000,-10.378738403320312
58000,93.44644927978516
60000,3.234454870223999
62000,-23.594457626342773
64000,443.3220520019531
66000,83.0136489868164
68000,181.79872131347656
70000,58.41632080078125
72000,252.56015014648438
74000,187.97645568847656
76000,167.05636596679688
78000,61.562767028808594
80000,-23.62723159790039
82000,241.0033416748047
84000,-23.863588333129883
86000,-11.76341438293457
88000,69.19376373291016
90000,310.7746887207031
92000,314.698486328125
94000,711.3357543945312
96000,236.95184326171875
98000,263.8882751464844
100000,-13.09302806854248
