step,stat/ep_constraint_violation
2000,8.9
4000,11.2
6000,14.7
8000,13.4
10000,16.5
12000,19.0
14000,18.3
16000,19.3
18000,20.3
20000,15.5
22000,16.9
24000,17.9
26000,17.9
28000,19.1
30000,19.5
32000,23.0
34000,16.3
36000,19.7
38000,22.9
40000,30.1
42000,25.0
44000,28.0
46000,26.9
48000,20.3
50000,17.1
52000,20.8
54000,18.8
56000,24.2
58000,22.7
60000,23.2
62000,27.6
64000,24.3
66000,24.5
68000,22.9
70000,28.6
72000,25.2
74000,22.0
76000,26.4
78000,36.7
80000,30.2
82000,40.2
84000,46.7
86000,44.2
88000,52.5
90000,59.0
92000,63.3
94000,36.9
96000,45.7
98000,48.4
100000,62.4
