step,stat/ep_length
2000,13.8
4000,18.4
6000,33.2
8000,38.4
10000,29.0
12000,39.1
14000,36.3
16000,45.1
18000,43.8
20000,43.3
22000,44.1
24000,50.2
26000,39.3
28000,56.6
30000,72.0
32000,71.9
34000,60.0
36000,67.6
38000,100.6
40000,83.1
42000,98.1
44000,62.2
46000,63.0
48000,54.4
50000,51.5
52000,44.7
54000,68.9
56000,44.2
58000,59.1
60000,101.1
62000,70.9
64000,72.9
66000,48.3
68000,85.5
70000,70.8
72000,74.5
74000,72.7
76000,100.6
78000,123.6
80000,114.3
82000,123.2
84000,86.3
86000,93.5
88000,135.5
90000,71.7
92000,81.4
94000,93.1
96000,125.1
98000,99.4
100000,124.7
