step,loss/policy_loss
2000,-0.017943772315640268
4000,0.014527543363439236
6000,0.00588213511504679
8000,-0.006502821169668828
10000,0.0005405442158352948
12000,-0.004473852326190414
14000,-0.013041780439402961
16000,0.013549244658595142
18000,-0.0072856290934900396
20000,0.030574398561915118
22000,-0.01153495783249207
24000,-0.0024802145652025607
26000,0.03166367242567727
28000,-0.01364553537826901
30000,0.18029726451123168
32000,0.12891523518570364
34000,0.11513231786720728
36000,0.21396516041937924
38000,0.24741485621470183
40000,0.13557229426635747
42000,0.25599966499228
44000,0.07303815069767283
46000,0.14829727934950965
48000,0.21106123603682883
50000,0.12166594875956353
52000,0.10760155114519951
54000,0.24855212223383907
56000,0.07955515566726021
58000,0.18559988162265956
60000,0.2325884261851726
62000,0.09392833112574872
64000,0.1583932196843108
66000,0.24238939669810228
68000,0.1299722998255861
70000,0.1631256582617396
72000,0.2486111550017535
74000,0.15161879132083342
76000,0.14622167786735124
78000,0.24269404034011802
80000,0.1180979712234524
82000,0.23811741808970752
84000,0.20618885266998768
86000,0.15531476739971056
88000,0.14118727162514705
90000,0.25406065066288847
92000,0.10354484009300162
94000,0.15523727086121736
96000,0.22734860456997974
98000,0.1419704507040816
100000,0.16657661262312448
