step,adv_reward/adv_reward_scaled_max
2000,7.785719394683838
4000,312.6124267578125
6000,192.1501922607422
8000,11.596321105957031
10000,27.8886661529541
12000,319.84588623046875
14000,1229.06640625
16000,31.691726684570312
18000,205.46876525878906
20000,329.6319580078125
22000,427.64599609375
24000,232.68629455566406
26000,67.32108306884766
28000,10.610401153564453
30000,7.476780891418457
32000,410.1629638671875
34000,18.965757369995117
36000,7.074077129364014
38000,9.012181282043457
40000,97.26615142822266
42000,326.8564453125
44000,145.31707763671875
46000,7.818777561187744
48000,7.106177806854248
50000,10.385528564453125
52000,6.707432746887207
54000,6.723788261413574
56000,26.496868133544922
58000,7.041839122772217
60000,5.869030475616455
62000,7.731528282165527
64000,15.155120849609375
66000,6.899873733520508
68000,8.385194778442383
70000,7.173999309539795
72000,157.36883544921875
74000,7.191067218780518
76000,6.485522747039795
78000,7.4214935302734375
80000,7.336806774139404
82000,6.652075290679932
84000,6.5892462730407715
86000,8.360250473022461
88000,6.518553256988525
90000,384.79931640625
92000,7.409692764282227
94000,7.220474720001221
96000,6.163611888885498
98000,9.637659072875977
100000,6.503417015075684
