step,adv_reward/adv_reward_scaled_min
2000,5.287364482879639
4000,266.2130126953125
6000,190.02719116210938
8000,0.019077369943261147
10000,23.77959442138672
12000,314.9972229003906
14000,1227.0618896484375
16000,27.50102996826172
18000,204.38613891601562
20000,309.1898193359375
22000,403.0119934082031
24000,227.78628540039062
26000,63.85446548461914
28000,4.979855537414551
30000,4.943244934082031
32000,355.620361328125
34000,5.3116631507873535
36000,5.437702178955078
38000,5.225675582885742
40000,77.80567169189453
42000,323.7764587402344
44000,131.77334594726562
46000,5.636702537536621
48000,5.943303108215332
50000,5.435513973236084
52000,0.019077369943261147
54000,4.811342716217041
56000,6.087020397186279
58000,4.879078388214111
60000,5.398396015167236
62000,5.391927242279053
64000,4.9785966873168945
66000,5.2518510818481445
68000,5.099062919616699
70000,4.923241138458252
72000,153.28565979003906
74000,5.209291458129883
76000,5.179439067840576
78000,5.3603644371032715
80000,5.825619697570801
82000,5.632521629333496
84000,4.793127536773682
86000,5.059685230255127
88000,5.0862135887146
90000,380.2574462890625
92000,5.101700305938721
94000,5.517330646514893
96000,5.021410942077637
98000,5.44504976272583
100000,5.079831123352051
