step,adv_reward/adv_reward_raw_min
2000,-12.919695854187012
4000,266.2130126953125
6000,190.0271453857422
8000,-100.0
10000,20.340566635131836
12000,314.9972229003906
14000,1227.0618896484375
16000,24.888071060180664
18000,204.38612365722656
20000,309.1898193359375
22000,403.0119934082031
24000,227.78627014160156
26000,63.64046859741211
28000,-13.980989456176758
30000,-14.11098575592041
32000,355.620361328125
34000,-12.838055610656738
36000,-12.41950798034668
38000,-13.128376960754395
40000,77.72161102294922
42000,323.7764587402344
44000,131.77105712890625
46000,-11.774760246276855
48000,-10.817134857177734
50000,-12.426705360412598
52000,-100.0
54000,-14.586191177368164
56000,-10.382081031799316
58000,-14.340801239013672
60000,-12.549162864685059
62000,-12.570574760437012
64000,-13.985445022583008
66000,-13.039580345153809
68000,-13.563216209411621
70000,-14.182358741760254
72000,153.2851104736328
74000,-13.1841459274292
76000,-13.286136627197266
78000,-12.675361633300781
80000,-11.1798095703125
82000,-11.788110733032227
84000,-14.652680397033691
86000,-13.700301170349121
88000,-13.607850074768066
90000,380.2574462890625
92000,-13.55406665802002
94000,-12.159212112426758
96000,-13.834407806396484
98000,-12.395357131958008
100000,-13.63005542755127
